datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,lightning_nodes,lightning_capacity_usd,fear_greed_category_Extreme Fear,fear_greed_category_Extreme Greed,fear_greed_category_Fear,fear_greed_category_Greed,fear_greed_category_Neutral
2019-07-24 00:00:00,9748.12,17836008,173867551617.41608,94757072728.35654,0.4550042728107016,47009094.48735495,741865.0,20.0,4576.0,8828774.685,1,0,0,0,0
2019-07-25 00:00:00,9875.04,17837883,176149813521.94397,94831353876.98717,0.4616437452817769,9647733.049393762,802462.0,42.0,4606.0,9138937.66,0,0,1,0,0
2019-07-26 00:00:00,10150.07,17839958,181076828028.5677,94895777037.77042,0.4759363852850398,6682967.395768522,777937.0,24.0,4606.0,8914475.99,1,0,0,0,0
2019-07-27 00:00:00,9415.51,17841858,167990197548.77283,94883155758.11244,0.4351863552600153,4351581.153557189,610543.0,47.0,4606.0,8656776.635,0,0,0,0,1
2019-07-28 00:00:00,9534.21,17844046,170128882242.436,94907336246.27724,0.4421444789660524,1941962.7035588,556661.0,16.0,4606.0,8662465.096,1,0,0,0,0
2019-07-29 00:00:00,9529.05,17846146,170056817969.84396,96650281772.4582,0.4316588836232539,262251865.59649384,753702.0,19.0,4606.0,8688982.454,1,0,0,0,0
2019-07-30 00:00:00,9576.18,17847921,170914904552.44354,96698460037.65749,0.4342303832958786,6109521.80821386,770270.0,22.0,4606.0,8662535.823,1,0,0,0,0
2019-07-31 00:00:00,10110.28,17850058,180469089906.0633,96809056345.16248,0.463569875619404,4372673.880790946,804228.0,31.0,4606.0,8892461.306,0,0,1,0,0
2019-08-01 00:00:00,10389.89,17851833,185478586830.57297,96949372000.72186,0.4773015383749871,8585066.726886638,784671.0,57.0,4600.0,8393708.672,0,0,0,1,0
2019-08-02 00:00:00,10521.34,17853946,187847436680.8096,97077097359.88712,0.483213084643574,4023546.8988627065,803424.0,61.0,4600.0,8755916.584,0,0,0,1,0
2019-08-03 00:00:00,10795.27,17856108,192761512892.2839,97186274733.66388,0.4958211663965718,2218165.3264054386,653484.0,61.0,4600.0,9024014.134,0,0,0,1,0
2019-08-04 00:00:00,10956.3,17858196,195659753327.5308,97292807947.38924,0.5027449115479417,7632876.999656116,609533.0,62.0,4600.0,9039951.676,0,0,0,1,0
2019-08-05 00:00:00,11754.11,17859983,209928211185.7952,97852326219.46188,0.5338771970344733,30953196.28674947,820648.0,64.0,4600.0,9824750.166,0,0,0,1,0
2019-08-06 00:00:00,11502.92,17861996,205465111545.6336,98216942702.99178,0.5219775174279264,20523550.56613077,885062.0,66.0,4600.0,9808172.606,0,0,0,1,0
2019-08-07 00:00:00,11934.36,17863908,213194315582.7765,98550486915.20232,0.5377433650338659,10386895.353601428,871200.0,45.0,4600.0,9756862.986,0,0,1,0,0
2019-08-08 00:00:00,11997.13,17865683,214336928027.8944,98879920874.43814,0.5386706258028965,10937834.037874984,846611.0,61.0,4774.0,9854130.861,0,0,0,1,0
2019-08-09 00:00:00,11857.87,17867521,211870741773.5465,99024774396.44215,0.5326170401466633,4182767.697077934,773649.0,60.0,4774.0,9856834.757,0,0,0,1,0
2019-08-10 00:00:00,11326.49,17869408,202397677190.5441,99059988972.31145,0.5105675601254407,4437363.9644643925,639080.0,59.0,4774.0,9557725.387,0,0,0,1,0
2019-08-11 00:00:00,11502.98,17871321,205573448553.89627,99185395729.5408,0.5175184517881118,6900458.574954255,573508.0,45.0,4774.0,9508626.099,0,0,1,0,0
2019-08-12 00:00:00,11371.38,17872983,203240487623.6279,99290264470.5858,0.5114641495327591,5237328.906879664,683471.0,48.0,4774.0,9498451.666,0,0,0,0,1
2019-08-13 00:00:00,10870.76,17874946,194314248467.84387,99410801156.1761,0.4884018956920335,9842207.502946656,916637.0,45.0,4774.0,9398759.715,0,0,1,0,0
2019-08-14 00:00:00,10039.25,17876846,179470126656.9889,99454363521.39912,0.4458444679683063,9253548.818586543,787817.0,11.0,4774.0,8805277.919,1,0,0,0,0
2019-08-15 00:00:00,10316.64,17878808,184449231387.40372,99487808265.6262,0.4606222670742972,3953888.987648079,740777.0,13.0,4796.0,8422286.623,1,0,0,0,0
2019-08-16 00:00:00,10301.09,17880646,184190144167.40445,99549249197.1927,0.4595299892554749,4306455.760918107,716590.0,31.0,4796.0,8656231.904,0,0,1,0,0
2019-08-17 00:00:00,10258.85,17882246,183451279838.4648,99553023263.3861,0.4573326315790984,2729311.9996576654,597735.0,20.0,4796.0,8670926.563,1,0,0,0,0
